faceofwar;Milblogger;115203;April 2018;;;
wisedruidd;Milblogger;116712;December 2022;;;
rus_demiurge;Grassrootsnews;117373;Febuary 2020;;;
delyagin;Memculture;117828;May 2017;;;
chdambiev;Milblogger;118612;June 2020;;;
tvdno;Grassrootsnews;119138;December 2020;;;
mironovonline;Politician;119649;Febuary 2017;;;
karaulny;Grassrootsnews;121510;January 2017;;;
Metametrica;Grassrootsnews;122593;December 2017;;;
dr_alex_sosnowski;Expert;123474;Febuary 2018;;;
The_Wrong_Side;Grassrootsnews;126046;Febuary 2022;;;
sskarnaukhov;Politician;127280;Febuary 2020;;;
kornilov1968;Journalist;131339;November 2019;;;
romanov_92;Milblogger;132911;April 2020;;;
zvezdanews;Commercialnews;135095;July 2017;;;
absatzmedia;Commercialnews;136838;December 2021;;;
DmitriySteshin;Journalist;142531;August 2019;;;
talipovonlineV;Politician;143629;August 2017;;;
svezhesti;Grassrootsnews;147271;Mart 2020;;;
Soldieroffortune777;Grassrootsnews;151141;November 2020;;;
rusvesnasu;Grassrootsnews;151770;November 2016;;;
Alekhin_Telega;Milblogger;155325;May 2019;;;
prigozhin_2023_tg;Politician;159213;Mart 2023;;;
Crimeanwind;Grassrootsnews;159423;Mart 2022;;;
golosmordora;Influencer;160333;May 2017;;;
alexandr_malkevich;Journalist;160487;December 2018;;;
Prikhodko1970;Grassrootsnews;165854;May 2018;;;
obrazbuduschego2,Grassrootsnews,,,,,;Grassrootsnews;166965;September 2019;;;
MedvedevVesti,Politician,,,,,;Politician;175491;November 2017;;;
ghost_of_novorossia;Milblogger;175720;June 2021;;;
Iikhu;Memculture;175923;June 2019;;;
government_rus;Government;192125;August 2021;;;
OpenUkraine;Grassrootsnews;199334;April 2019;;;
SIL0VIKI;Grassrootsnews;200263;Mart 2018;;;
Ags_Donbass;Grassrootsnews;200352;Juky 2019;;;
RtrDonetsk;Milblogger;200886;October 2020;;;
kstati_p;Grassrootsnews;203893;April 2017;;;
ASGasparyan;Journalist;204312;July 2017;;;
VladlenTatarsky;Milblogger;205412;October 2017;;;
rustroyka1945;Grassrootsnews;205920;Mart 2022;;;
dimonundmir;Influencer;207164;September 2019;;;
new_militarycolumnist;Grassrootsnews;208518;July 2018;;;
boilerroomchannel;Grassrootsnews;220267;August 2017;;;
mardanaka;Journalist;224409;July 2018;;;
swodki;Grassrootsnews;232826;October 2017;;;
politjoystic;Journalist;242535;December 2016;;;
dshrg2;Milblogger;244535;September 2022;;;
anna_news;Grassrootsnews;251324;November 2017;;;
Prigozhin_hat;Memculture;252936;Febuary 2019;;;
khazinml;Expert;253084;Febuary 2021;;;
bloknot_rossiya;Commercialnews;254119;Mart 2019;;;
skabeeva;Journalist;256157;April 2018;;;
zakharprilepin;Expert;257772;January 2020;;;
kremlin_sekret;Grassrootsnews;293082;August 2020;;;
news_kremlin;Government;295714;April 2022;;;
maester,Other,,,,,;Other;307723;April 2018;;;
notes_veterans;Milblogger;315471;September 2020;;;
chp_donetska;Grassrootsnews;327462;April 2020;;;
voenkorKotenok;Milblogger;347862;December 2017;;;
dimsmirnov175;Milblogger;350049;Febuary 2017;;;
aleksandr_skif;Politician;355440;December 2017;;;
strelkovii;Milblogger;387382;May 2020;;;
olegtsarov;Politician,;390001;April 2021;;;
sheyhtamir1974;Milblogger;404036;Febuary 2020;;;
warfakes;Grassrootsnews;423995;Febuary 2022;;;
nikitabsg;Grassrootsnews;426466;Mart 2022;;;
SergeyKolyasnikov;Milblogger;450196;January 2016;;;
opersvodki;Grassrootsnews;450965;November 2021;;;
ssigny;Grassrootsnews;494601;January 2021;;;
ukr_2025_ru;Grassrootsnews;508829;November 2017;;;
oper_goblin;Journalist;518082;August 2017;;;
MariaVladimirovnaZakharova;Politician;521577;June 2021;;;
Mig41;Grassrootsnews;521883;November 2017;;;
warhistoryalconafter;Memculture;524386;October 2020;;;
sashakots;Milblogger;527716;Febuary 2017;;;
vysokygovorit;Grassrootsnews;542252;August 2020;;;
Mikle1On;Milblogger;566279;October 2020;;;
margaritasimonyan;Journalist;577025;November 2017;;;
concordgroup_official;Grassrootsnews;605103;November 2022;;;
mod_russia;Government;639581;December 2016;;;
epoddubny;Milblogger;649043;Febuary 2017;;;
dmitrynikotin;Influencer;722735;June 2016;;;
voenacher;Grassrootsnews;723388;Mart 2020;;;
Sladkov_plus;Milblogger;783539;Febuary 2018;;;
boris_rozhin;Milblogger;816965;September 2017;;;
wargonzo;Milblogger;851449;June 2017;;;
rusich_army;Organization;1120563;August 2021;;;
SolovievLive;Journalist,;1252113;May 2019;;;
dva_majors,Influencer,,,,,;Influencer;1263705;June 2022;;;
vv_volodin;Politician;1369108;Mart 2021;;;
rybar,Milblogger,,,,,;Milblogger;1436983;Febuary 2018;;;
ostorozhno_novosti;Commercialnews;1609358;April 2021;;;
RVvoenkor;Milblogger;1629305;April 2018;;;
medvedev_telegram;Politician;1823271;Mart 2022;;;
RKadyrov_95;Politician;2042586;May 2017;;;
readovkanews;Commercialnews;2052925;Mart 2018;;;
yurasumy;Expert;3032338;December 2018;;;
breakingmash;Commercialnews;3301129;May 2017;;;
BazhenovLive;Milblogger;n/u;n/u;;;
Readovkaru;Commercialnews;n/u;n/u;;;
arrussia;Memculture;n/u;n/u;;;
fuckyouthatswhy;Influencer;n/u;n/u;;;
lomovkaa;Commercialnews;n/u;n/u;;;
rasstrelny;Grassrootsnews;n/u;n/u;;;
rosich_russia;Organization;n/u;n/u;;;
tvrussia1;Statenews;n/u;n/u;;;
Name;Categories;Number of Subscribers;Date of establishing;;;
